backbone,n_tasks,strategy,model_load_mem_mb,peak_gpu_mem_mb,avg_gpu_mem_mb,throughput_rps,avg_latency_ms,avg_batch_size,mixed_batch_fraction,batch_count
momentbase,1,task_sharing,434.375,434.375,443.463,106.4,9.398,1.0,0.0,6384
momentbase,1,deploy_sharing,442.5,442.5,443.461,106.55,9.386,1.0,0.0,6393
momentbase,2,task_sharing,876.874,876.874,887.405,107.5667,18.594,1.0,0.0,6454
momentbase,2,deploy_sharing,450.625,450.625,452.013,131.2,15.244,2.0,1.0,3936
momentbase,4,task_sharing,1753.248,1753.248,1774.975,104.4,38.348,1.0,0.0,6264
momentbase,4,deploy_sharing,466.375,466.375,468.226,143.2667,27.924,4.0,1.0,2149
momentbase,6,task_sharing,2637.247,2637.247,2661.955,94.4,63.585,1.0,0.0,5664
momentbase,6,deploy_sharing,482.625,482.625,485.065,143.1,41.932,6.0,1.0,1431
momentbase,8,task_sharing,3522.246,3522.246,3549.535,91.6667,87.336,1.0,0.0,5500
momentbase,8,deploy_sharing,498.875,498.875,502.557,147.8667,54.146,8.0,1.0,1109
momentbase,10,task_sharing,4406.745,4406.745,4436.996,84.5333,118.365,1.0,0.0,5072
momentbase,10,deploy_sharing,514.625,514.625,517.854,150.5,66.503,10.0,1.0,903
