task,n_requests,throughput_rps,avg_latency_ms
diasbp,511,8.516666666666667,117.43341203060898
heartrate,508,8.466666666666667,118.12748228370278
ecgclass,508,8.466666666666667,118.14922239680914
eclfore,508,8.466666666666667,118.1463458379144
etth1fore,498,8.3,120.53503277365597
exchangefore,500,8.333333333333334,120.06549082277343
gestureclass,509,8.483333333333333,117.96998265812316
sysbp,510,8.5,117.7443886983811
weatherfore,509,8.483333333333333,117.96997244742448
trafficfore,511,8.516666666666667,117.51332104756494
