wall_time_s,queue_size,num_completed,mean_queue_delay_us,delta_queue_duration_us
10.0,0,0,0.0,0.0
15.0,0,0,0.0,0.0
20.0,0,7,96727.0,677089.0
25.0,0,50,217.9,10897.0
30.0,0,50,218.7,10936.0
35.0,0,50,202.0,10101.0
40.0,0,50,240.3,12016.0
45.0,0,50,231.8,11588.0
50.0,0,50,212.2,10609.0
55.0,0,50,239.0,11951.0
60.0,0,51,238.3,12154.0
65.0,0,50,231.4,11570.0
70.1,0,50,240.3,12017.0
75.1,0,50,214.8,10742.0
80.1,0,50,206.7,10335.0
85.1,0,96,116026.1,11138510.0
90.1,0,90,4640.6,417653.0
95.1,0,90,4464.6,401818.0
100.1,0,90,5091.4,458229.0
105.1,0,90,4866.5,437982.0
110.1,0,90,4730.0,425697.0
115.1,0,90,4535.4,408187.0
120.1,0,90,4958.6,446274.0
125.1,0,90,4598.5,413865.0
130.1,0,90,4872.9,438563.0
135.1,0,90,4674.3,420686.0
140.1,0,94,6227.4,585376.0
145.1,0,115,7902.4,908777.0
150.1,0,115,8204.5,943513.0
155.1,0,115,8942.9,1028428.0
160.1,0,115,8690.5,999403.0
165.1,0,115,9217.3,1059986.0
170.1,0,115,9815.8,1128812.0
175.1,0,115,9861.9,1134119.0
180.1,0,115,10937.1,1257761.0
185.1,0,115,10580.2,1216721.0
190.1,0,115,11523.6,1325214.0
195.1,0,115,11803.2,1357372.0
200.1,0,123,15390.9,1893084.0
205.1,0,165,11057.7,1824513.0
210.1,0,165,11517.4,1900371.0
215.1,0,165,11689.4,1928753.0
220.1,0,165,11702.0,1930834.0
225.1,0,165,10960.2,1808439.0
230.1,0,165,10638.1,1755288.0
235.1,0,165,8065.5,1330800.0
240.1,0,165,9938.7,1639884.0
245.1,0,165,7865.0,1297729.0
250.1,0,165,9755.8,1609700.0
255.1,0,165,10585.1,1746543.0
260.1,0,170,10190.0,1732306.0
265.1,0,190,11329.8,2152655.0
270.1,0,190,14086.8,2676501.0
275.1,0,190,17185.7,3265284.0
280.1,0,190,19375.8,3681401.0
285.2,1,190,12959.3,2462265.0
290.2,1,190,14416.8,2739189.0
295.2,1,190,20995.6,3989155.0
300.2,1,190,25540.9,4852773.0
305.2,1,190,26496.8,5034392.0
310.2,1,190,22024.9,4184739.0
315.2,1,190,19066.0,3622539.0
320.2,5,193,25772.3,4974051.0
325.2,23,212,389556.6,82586008.0
330.2,14,239,410933.2,98213023.0
335.2,4,240,204042.4,48970167.0
340.2,22,212,315568.4,66900509.0
345.2,39,213,691930.3,147381151.0
350.2,56,213,1044543.0,222487661.0
355.2,79,207,1464008.0,303049663.0
360.2,99,210,1949292.8,409351482.0
365.2,119,210,2363913.2,496421766.0
370.2,141,208,2856143.7,594077894.0
375.2,154,217,3187346.6,691654220.0
380.2,183,210,3532774.3,741882608.0
385.2,248,209,4093232.3,855485544.0
390.2,318,205,5217588.8,1069605714.0
395.2,380,203,6424884.7,1304251587.0
400.2,421,225,7586941.1,1707061749.0
405.2,475,212,8341844.9,1768471125.0
410.2,540,206,9498780.3,1956748750.0
415.2,596,221,10517174.7,2324295616.0
420.2,652,204,11431510.6,2332028172.0
425.2,722,206,12647922.7,2605472066.0
430.2,767,223,13856875.7,3090083270.0
435.2,837,199,14884301.1,2961975914.0
440.2,901,199,16151610.5,3214170497.0
445.2,960,209,17419099.7,3640591830.0
450.2,1025,205,18603455.7,3813708426.0
455.2,1076,210,19708064.1,4138693460.0
460.3,1140,206,20776734.8,4280007366.0
465.3,1197,209,21934298.5,4584268396.0
470.3,1255,214,22963381.7,4914163686.0
475.3,1321,199,24132532.1,4802373878.0
480.3,1392,198,25442033.1,5037522562.0
485.3,1448,209,26479622.9,5534241193.0
490.3,1507,205,27709086.0,5680362640.0
495.3,1570,207,28832911.7,5968412713.0
500.3,1587,204,30022467.0,6124583262.0
505.3,1374,213,31187053.1,6642842310.0
510.3,1152,222,32014373.0,7107190812.0
515.3,934,218,32842201.5,7159599936.0
520.3,713,221,33924302.4,7497270840.0
525.3,503,210,34796392.8,7307242478.0
530.3,279,224,35661268.7,7988124187.0
535.3,62,217,36550524.4,7931463785.0
540.3,0,63,37213503.3,2344450706.0
