n_tasks,strategy,gpu_mem_mb,throughput_rps,avg_latency_ms,avg_batch_size,mixed_batch_fraction,batch_count
2,deploy_sharing,420.978,13.2333,151.349,2.0,1.0,372
2,task_sharing,841.161,13.8833,144.18,1.0,0.0,758
4,deploy_sharing,1026.14,21.8667,183.314,4.0,1.0,322
4,task_sharing,2286.689,25.4,157.77,1.0,0.0,1440
6,deploy_sharing,1631.301,27.0,222.461,6.0,1.0,258
6,task_sharing,3732.216,36.55,164.374,1.0,0.0,2056
8,deploy_sharing,1934.277,32.65,245.904,4.0,0.5,488
8,task_sharing,4875.558,33.5333,247.711,1.0,0.0,1991
10,deploy_sharing,1935.066,31.6167,317.466,5.0,1.0,370
10,task_sharing,5716.713,28.8667,373.316,1.0,0.0,1646
